<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,20210617,231000,1.1901000,1.1902200,1.1900000,1.1901300,395
EURUSD,1,20210617,231100,1.1902100,1.1903200,1.1901000,1.1903000,350
EURUSD,1,20210617,231200,1.1902900,1.1904000,1.1902000,1.1903500,739
EURUSD,1,20210617,231300,1.1903500,1.1904000,1.1902000,1.1903400,434
EURUSD,1,20210617,231400,1.1903400,1.1903800,1.1900000,1.1902600,625
EURUSD,1,20210617,231500,1.1901800,1.1903600,1.1901000,1.1903000,622
EURUSD,1,20210617,231600,1.1903100,1.1903200,1.1901000,1.1902600,243
EURUSD,1,20210617,231700,1.1902000,1.1903000,1.1901000,1.1902600,140
EURUSD,1,20210617,231800,1.1902600,1.1902800,1.1900000,1.1902300,367
EURUSD,1,20210617,231900,1.1901700,1.1903100,1.1901000,1.1902500,396
EURUSD,1,20210617,232000,1.1902500,1.1904000,1.1901000,1.1903700,590
EURUSD,1,20210617,232100,1.1903800,1.1904000,1.1901000,1.1902300,233
EURUSD,1,20210617,232200,1.1903000,1.1904000,1.1902000,1.1902800,421
EURUSD,1,20210617,232300,1.1902800,1.1903100,1.1900000,1.1902600,310
EURUSD,1,20210617,232400,1.1902500,1.1903000,1.1901000,1.1902000,277
EURUSD,1,20210617,232500,1.1903000,1.1903000,1.1900000,1.1902200,270
EURUSD,1,20210617,232600,1.1902100,1.1904300,1.1901400,1.1903900,382
EURUSD,1,20210617,232700,1.1904000,1.1905400,1.1902000,1.1904800,647
EURUSD,1,20210617,232800,1.1904800,1.1905000,1.1903000,1.1904500,180
EURUSD,1,20210617,232900,1.1904500,1.1904600,1.1902000,1.1903100,444
EURUSD,1,20210617,233000,1.1903100,1.1903400,1.1900000,1.1902700,770
EURUSD,1,20210617,233100,1.1902800,1.1905200,1.1901000,1.1904900,794
EURUSD,1,20210617,233200,1.1904900,1.1906400,1.1903000,1.1905600,696
EURUSD,1,20210617,233300,1.1905600,1.1909200,1.1904800,1.1908600,947
EURUSD,1,20210617,233400,1.1908700,1.1910000,1.1907000,1.1909100,567
EURUSD,1,20210617,233500,1.1908300,1.1909300,1.1907900,1.1909300,342
EURUSD,1,20210617,233600,1.1909000,1.1909200,1.1907000,1.1908800,567
EURUSD,1,20210617,233700,1.1908600,1.1909100,1.1907000,1.1908600,560
EURUSD,1,20210617,233800,1.1908500,1.1909200,1.1906000,1.1907500,659
EURUSD,1,20210617,233900,1.1907600,1.1908300,1.1905000,1.1907200,783
EURUSD,1,20210617,234000,1.1907400,1.1908000,1.1906000,1.1907600,331
EURUSD,1,20210617,234100,1.1907500,1.1907700,1.1905000,1.1907400,307
EURUSD,1,20210617,234200,1.1907500,1.1907600,1.1906000,1.1907500,293
EURUSD,1,20210617,234300,1.1906600,1.1908000,1.1906000,1.1906800,339
EURUSD,1,20210617,234400,1.1907500,1.1908100,1.1906000,1.1907300,329
EURUSD,1,20210617,234500,1.1908000,1.1908200,1.1906900,1.1907100,269
EURUSD,1,20210617,234600,1.1907800,1.1908200,1.1906000,1.1907600,511
EURUSD,1,20210617,234700,1.1907400,1.1907900,1.1906000,1.1907900,176
EURUSD,1,20210617,234800,1.1907600,1.1907900,1.1906000,1.1907400,270
EURUSD,1,20210617,234900,1.1907400,1.1907700,1.1904000,1.1905800,384
EURUSD,1,20210617,235000,1.1906800,1.1907600,1.1904000,1.1906000,888
EURUSD,1,20210617,235100,1.1906300,1.1906400,1.1904000,1.1905500,834
EURUSD,1,20210617,235200,1.1905500,1.1908000,1.1904700,1.1907300,754
EURUSD,1,20210617,235300,1.1907200,1.1907600,1.1905000,1.1907000,574
EURUSD,1,20210617,235400,1.1907100,1.1907500,1.1905000,1.1906200,473
EURUSD,1,20210617,235500,1.1906600,1.1907100,1.1905000,1.1906500,572
EURUSD,1,20210617,235600,1.1906500,1.1908200,1.1904000,1.1907900,688
EURUSD,1,20210617,235700,1.1907300,1.1908100,1.1906000,1.1907600,335
EURUSD,1,20210617,235800,1.1907600,1.1907600,1.1905000,1.1906900,406
EURUSD,1,20210617,235900,1.1906800,1.1906900,1.1904000,1.1905500,729
EURUSD,1,20210618,000000,1.1905500,1.1907400,1.1904800,1.1906600,226
EURUSD,1,20210618,000100,1.1906100,1.1907400,1.1904400,1.1907000,21
EURUSD,1,20210618,000200,1.1907200,1.1907400,1.1905000,1.1907000,9
EURUSD,1,20210618,000300,1.1905900,1.1907200,1.1903600,1.1906100,20
EURUSD,1,20210618,000400,1.1907000,1.1907000,1.1904600,1.1905300,16
EURUSD,1,20210618,000500,1.1904500,1.1907000,1.1904500,1.1907000,23
EURUSD,1,20210618,000600,1.1905200,1.1907000,1.1903800,1.1904800,134
EURUSD,1,20210618,000700,1.1905200,1.1906000,1.1904400,1.1905800,39
EURUSD,1,20210618,000800,1.1904500,1.1906000,1.1904000,1.1904600,57
EURUSD,1,20210618,000900,1.1904700,1.1906000,1.1904000,1.1904800,47
EURUSD,1,20210618,001000,1.1904000,1.1906000,1.1904000,1.1904800,36
EURUSD,1,20210618,001100,1.1904800,1.1906200,1.1903900,1.1905000,64
EURUSD,1,20210618,001200,1.1904200,1.1906300,1.1904000,1.1904200,95
EURUSD,1,20210618,001300,1.1905000,1.1906300,1.1903700,1.1904200,55
EURUSD,1,20210618,001400,1.1905000,1.1906300,1.1903600,1.1905000,46
EURUSD,1,20210618,001500,1.1905000,1.1907000,1.1904100,1.1904800,96
EURUSD,1,20210618,001600,1.1905600,1.1907000,1.1903600,1.1905600,66
EURUSD,1,20210618,001700,1.1904800,1.1907000,1.1904200,1.1904700,65
EURUSD,1,20210618,001800,1.1903600,1.1907200,1.1903600,1.1905400,85
EURUSD,1,20210618,001900,1.1904600,1.1907100,1.1904200,1.1906800,65
EURUSD,1,20210618,002000,1.1905000,1.1907300,1.1903600,1.1904400,96
EURUSD,1,20210618,002100,1.1907000,1.1907300,1.1904300,1.1906000,62
EURUSD,1,20210618,002200,1.1907200,1.1907200,1.1904300,1.1906000,57
EURUSD,1,20210618,002300,1.1905200,1.1907000,1.1904000,1.1907000,28
EURUSD,1,20210618,002400,1.1906000,1.1907200,1.1906000,1.1907200,2
EURUSD,1,20210618,002500,1.1906000,1.1907200,1.1904400,1.1907000,52
EURUSD,1,20210618,002600,1.1905800,1.1908900,1.1904400,1.1905800,60
EURUSD,1,20210618,002700,1.1904700,1.1907300,1.1904400,1.1904400,59
EURUSD,1,20210618,002800,1.1906900,1.1907000,1.1904000,1.1904700,48
EURUSD,1,20210618,002900,1.1905300,1.1907100,1.1904600,1.1905000,90
EURUSD,1,20210618,003000,1.1907000,1.1907100,1.1904400,1.1904900,97
EURUSD,1,20210618,003100,1.1904400,1.1907100,1.1904300,1.1906200,140
EURUSD,1,20210618,003200,1.1905300,1.1907500,1.1904300,1.1905600,106
